film,no,song,singer,lyricist,composer,duration
Pakeezah,1,Theme,Lata Mangeshkar,-,Naushad,4:15
Pakeezah,Mora Saajan,Pahadi,,Naushad,2:29,
Pakeezah,Inhin Logon Ne,Yaman Kalyan,Majrooh Sultanpuri,Ghulam Mohammad,3:41,
Pakeezah,Kaun Gali Gayo,Mishra Khamaj,Kaifi Azmi,Naushad,2:41,
Pakeezah,Najariya Ki Maari,Khamaj,Traditional,Naushad,2:18,
Pakeezah,Thade Rahiyo,Mand,"Kamal Amrohi , Majrooh Sultanpuri",Ghulam Mohammad,5:53,
Pakeezah,Chalte Chalte,Bhup Kalyan,Kaifi Azmi,Ghulam Mohammad,5:53,
Pakeezah,Mausam Hai Aahiqana,Yaman,Kamal Amrohi,Ghulam Mohammad,4:53,
Pakeezah,Chalo Dildaar Chalo,Pahadi,Kaif Bhopali,Ghulam Mohammad,3:37,
Pakeezah,Teer E Nazar,Khamaj,Kaif Bhopali,Ghulam Mohammad,3:59,
Pakeezah,12,Leke Angrai,"Meena Kumari , Suman Kalyanpur",Kaif Bhopali,Ghulam Mohammed,5:09
Pakeezah,Tanhai Sunaya Karti Hai,Mand,Kamal Amrohi,Ghulam Mohammed,3:36,
Pakeezah,Yeh Kiski Aankhon Ka,Yaman,Majrooh Sultanpuri,Ghulam Mohammed,5:21,
Pakeezah,Bandhan Bandho,Bhoopali,,Ghulam Mohammed,4:19,
60 Vayadu Maaniram,1,"""Iraivinai Thedi""",Ilaiyaraaja,Pa. Vijay,,
60 Vayadu Maaniram,2,"""Thedi Thedi""","Benny Dayal , Vibhavari",Palani Bharathi,,
60 Vayadu Maaniram,3,"""Naalum Naalum I""",Monali Thakur,Vivek,,
60 Vayadu Maaniram,4,"""Naalum Naalum II""","Benny Dayal, Monali Thakur",,,
A Aa E Ee,1,"""A Aa E Ee""","Rahul Nambiar , Dinesh",Priyan,,
A Aa E Ee,2,"""Dingi Tappu""","Megha , Sheeba, Vinaya, Maya, Ramya NSK , Vijay Antony",Eknaath,,
A Aa E Ee,3,"""Kanni Vedi""","Vijay Antony, Sangeetha Rajeshwaran",,,
A Aa E Ee,4,"""Mena Minuki""","Vijay Antony, Suchitra , Surmukhi Raman , Sangeetha Rajeshwaran",Vijay Antony,,
A Aa E Ee,5,"""Natta Nada""","Sangeetha Rajeshwaran, Karthik , Christopher",Annamalai,,
A Aa E Ee,6,"""Tappo Tappo""","Bakshi, Sulabha",Eknaath,,
ABCD,,""" Anandin Arimugam """,D. Imman,Pa. Vijay,,
ABCD,,""" Bharathiyin Arimugam """,,,,
ABCD,,""" Chandravin Arimugam """,,,,
ABCD,,""" Divyavin Arimugam """,,,,
ABCD,,""" Dhavam Ondru ""","Nithyasree Mahadevan , Balram",Thamarai,,
ABCD,,""" Kadhal Illai """,Imman,Saravana Subbiah,,
ABCD,,""" Manjal Mugame """,Saindhavi,,,
ABCD,,""" Yengo Yengo ""","Mahathi , Haricharan",,,
ABCD,,""" Yaar Potta Kolam """,Karthik,Na. Muthukumar,,
Aacharya,,"""Androru Thai""",Sriram Parthasarathy,,,3:29
Aacharya,,"""Nijamai Nijamai""",Manikka Vinayagam,,,3:34
Aacharya,,"""Idhu Enna""",Bharadwaj,,,5:23
Aacharya,,"""Kathavai Thirandhu""",Karthik,,,2:36
Aacharya,,"""Kannai Katti""",Senthildoss,,,2:19
Aacharya,,"""Oru Thuli Eru Thuli""",S. P. Balasubrahmanyam,,,5:05
Aacharya,,"""Uyirin Uirey""",Senthildoss,,,2:51
Aacharya,,"""Yar Yaro""","Sathyan , Azhagu Murugan",,,1:57
Aadai,,Chitti Dance Showcase,,,A. R. Rahman,
Aadai,,Chikku Bukku,,,"Colonial Cousins - Hariharan, Lesle Lewis, Pravin Mani",
Aadai,,Aasai Oru Pulveli,,,Santhosh Narayanan,
Aadai,,Pizza,,,,
Aadai,,Uyir Mozhi,,,,
Aadai,,Boomiyil,,,,
Aadai,,Agasatha,,,,
Aadai,,Jigarthanda,,,,
Aadai,,Vaayai Moodi Pesavum,,,,
Aadai,,Mundaasupatti,,,,
Aadai,,Madras,,,,
Aadai,,Sathuranga Vettai,,,,
Aadai,,Aadama Jaichomada,,,,
Aadai,,Enakkul Oruvan,,,,
Aadai,,Elangaathathu Veesuthu Kaathu,,,,
Aadai,,Poda Poda,,,,
Aadai,,Manithan,,,,
Aadai,,Kabali,,,,
Aadai,,Hindi,,,,
Aadai,,Telugu,,,,
Aadai,,Maaveeran Kittu,,,,
Aadai,,Nee Kavithaigala,,,,
Aadai,,Veera,,,,
Aadai,,Dayavittu Gamanisi,,,,
Aadai,,Vikram Vedha,,,,
Aadai,,Nibunan,,,,
Aadai,,Gemini Ganeshanum Suruli Raajanum,,,,
Aadai,,Yuddham Sharanam,,,,
Aadai,,Karuppan,,,,
Aadai,,Mental Madhilo,,,,
Aadai,,Vivegam,,,,
Aadai,,Meyaadha Maan,,,,
Aadai,,Santhosh Narayanan,,,,
Aadai,,Nenjil Thunivirundhal,,,,
Aadai,,Kaathiruppor Pattiyal,,,,
Aadai,,C/O Surya,,,,
Aadai,,Kannamma,,,Santhosh Narayanan,
Aadai,,Kadaikutty Singam,,,,
Aadai,,Thamizh Padam 2,,,,
Aadai,,96,,,,
Aadai,,Vada Chennai,,,,
Aadai,,Kodi Aruvi,,,,
Aadai,,Sillu Karuppatti,,,,
Aadai,,Thottappan,,,,
Aadai,,Gypsy,,,,
Aadai,,Aadai,,,,
Aadai,,Namma Veettu Pillai,,,,
Aadai,,Life of Ram,,,Govind Vasantha,
Aadai,,Takkar,,,,
Aadai,,Teddy,,,,
Aadai,,Dharala Prabhu,,,,
Aadai,,Andhaghaaram,,,,
Aadai,,Kanavil Kan Malarum,,,,
Aadai,,Kapatadhaari,,,,
Aadai,,Vaazhl,,,,
Aadai,,Raja Raja Chora,,,,
Aadai,,Jai Bhim,,,,
Aadai,,Sabhaapathy,,,,
Aadai,,Minnal Murali,,,Kerala State Film award for best playback singer 2021,
Aadai,,Sakala Gunabhirama,,,,
Aadai,,Madhuram,,,,
Aadai,,Etharkkum Thunindhavan,,,,
Aadai,,Velan,,,,
Aadai,,Writer,,,,
Aadai,,Nizhal Tharum Idham,,,,
Aadai,,Valimai,,,,
Aadai,,Anbarivu,,,,
Aadai,,Infinity,,,,
Aadai,,Hey Sinamika,,,,
Aadai,,D Block,,,,
Aadai,,Mr. Murali,,,,
Aadai,,Koorman,,,,
Aadai,,Kuthiraivaal,,,,
Aadai,,Veyil,,,,
Aadai,,Madhil Mel Kaadhal,,,Unreleased film,
Aadai,,Oh My Dog,,,,
Aadai,,J Baby,,,,
Aadai,,O2,,,,
Aadai,,Vezham,,,,
Aadai,,My Dear Bootham,,,,
Aadai,,Poikkal Kudhirai,,,,
Aadai,,Cadaver,,,,
Aadai,,Yugi,,,,
Aadai,,Michael,,,,
Aadai,,Banaras,,,,
Aadai,,Adiyae Adiyae,,,,
Aadai,,Thalaikoothal,,,,
Aadai,,Ayothi,,,,
Aadai,,Good Night,,,,
Aadai,,Romancham,,,,
Aadai,,Harkara,,,,
Aadai,,Kolai,,,,
Aadai,,Chandramukhi 2,,,,
Aadai,,Pulimada,,,,
Aadai,,Chithha,,,,
Aadai,,Thaensudare (Reprise),,,,
Aadai,,Manjummel Boys,,,,
Aadai,,Lubber Pandhu,,,,
Aadai,,Rifle Club,,,,
Aadai,,"""Maname Maname""",,,Leon James,
Aadai,,3BHK,,,,
Aadai,,Kaantha,,,,
Aadatha Aattamellam,,"""Naanga College""","Rahul Nambiar , A. R. Reihana",,,3:27
Aadatha Aattamellam,,"""Uyire En Uyire""",Madhushree,,,4:37
Aadatha Aattamellam,,"""Kokkarako""","Mohammed Aslam , Gana Ulaganathan, A. R. Reihana",,,3:51
Aadatha Aattamellam,,"""Azhagana""",Rajalakshmy,,,4:03
Aadatha Aattamellam,,"""Thalaatu Padamal""","Mohammed Aslam, Akila Chandran",,,5:51
Aadhityan,,"""Gongura...Nennu Andhra""","Mano , K. S. Chithra",,,4:28
Aadhityan,,"""Kanna Kadhal Kannukku""",Swarnalatha,,,3:43
Aadhityan,,"""Kattikko Koora Pattu Selai""","K. S. Chithra, Chorus",,,4:30
Aadhityan,,"""Kottattum Mela Sattam""","Malaysia Vasudevan , Swarnalatha",,,4:26
Aadhityan,,"""Uchi Malai""",Gangai Amaran,,,2:47
Aadi Velli,,"""Vanna Vizhiyazhagi""",K. S. Chithra,Vaali,,
Aadi Velli,,"""Vellikizhamai Ramasaamy""",Vani Jairam,,,
Aadi Velli,,"""Gum Gum Guma""","Mano , S. P. Sailaja",,,
Aadi Velli,,"""Sonnapetcha Kekkanum""",M. S. Rajeswari,,,
Aadi Velli,,"""Aayi Mahamayi""",S. P. Sailaja,,,
Aadi Velli,,"""Bhama Thallipoma""","Mano, S. P. Sailaja",Tha. Narayanan,,
Aahaa Enna Porutham,,"""Baghdad Perazhage""","Mano , Vidyasagar , Swarnalatha",,,4:31
Aahaa Enna Porutham,,"""Coimbatore Kolunthu""","Gopal, Vidyasagar",,,4:32
Aahaa Enna Porutham,,"""Kanaguruvi""","Anuradha Sriram , Kollangudi Karuppayee , Roshini",,,4:20
Aahaa Enna Porutham,,"""Sinthamani Sinthamani""","Hariharan , S. Janaki",,,4:35
Aahaa Enna Porutham,,"""Vulakku Le Le""","Gopal, Swarnalatha",,,4:23
Aahaa Ethanai Azhagu,,"""Ahaa Ethanai Azhagu""","Srinivas , Sujatha",Pa. Vijay,,
Aahaa Ethanai Azhagu,,"""Nilavile Nilavile""","Udit Narayan , Madhushree",Yugabharathi,,
Aahaa Ethanai Azhagu,,"""Aattukutty Ellam""",Tippu,Na. Muthukumar,,
Aahaa Ethanai Azhagu,,"""Kaadu Pathikichi""","Gangai Amaran , Pop Shalini",Arivumathi,,
Aahaa Ethanai Azhagu,,"""Kannu Rendum Konda""","Anuradha Sriram , Gopal Rao",Kabilan,,
Aahaa..!,,"""Aaha Yeh Hai""","Gopal Rao, Sujatha",Vaasan,,05:14
Aahaa..!,,"""Hip Hip Hurray""",Hariharan,05:41,,
Aahaa..!,,"""Kozhi Vandhadhaa""","Sujatha , Yugendran , Anuradha Sriram , Malaysia Vasudevan",04:19,,
Aahaa..!,,"""Mudhan Mudhalil"" (Duet)","Hariharan, K. S. Chithra",04:46,,
Aahaa..!,,"""Mudhan Mudhalil"" (Solo)",Hariharan,04:46,,
Aahaa..!,,"""Seetha Kalyana""",Meera Krishnan,Thyagaraja,,00:24
Aalappirandhavan,,"""Unnayum Ennayum""","K. J. Yesudas , S. Janaki",,,
Aalappirandhavan,,"""Machanukku""",S. Janaki,,,
Aalappirandhavan,,"""Kodikatti""",Malaysia Vasudevan,,,
Aalappirandhavan,,"""Yethivecha""","S. P. Balasubrahmanyam , K. S. Chithra",,,
Aalappirandhavan,,"""Ennal Mudiyathu""",Malaysia Vasudevan,,,
Aalayam,,"""Koyil Enbathum Aalayame""",T. M. Soundararajan,,,
Aalayam,,"""Paasam Thudithathamma""",,,,
Aalayam,,"""Sivanai Thedi Bhakthargal Ponar""",,,,
Aalayamani,,"""Kallellam Manikka""",T. M. Soundararajan & L. R. Eswari,,,05:00
Aalayamani,,"""Kannana Kannanukku""",Sirkazhi Govindarajan & P. Susheela,,,05:10
Aalayamani,,"""Karunai Magan""",M. S. Viswanathan,,,00:57
Aalayamani,,"""Maanattam""",P. Susheela,,,03:36
Aalayamani,,"""Ponnai Virumbum""",T. M. Soundararajan,,,04:03
Aalayamani,,"""Satti Sutthadhada""",T. M. Soundararajan,,,04:21
Aalayamani,,"""Thookkam Un Kangalai""",S. Janaki,,,03:22
Aalukkoru Aasai,,"""Belpoori Naan""",Kalpana,Kabilan,,05:11
Aalukkoru Aasai,,"""Iduppodu Sungidi""","Tippu , Anuradha Sriram",Pa. Vijay,,05:13
Aalukkoru Aasai,,"""Kaathal Kaathal""","Srilekha Parthasarathy , Kalpana, S. A. Rajkumar",Palani Bharathi,,04:30
Aalukkoru Aasai,,"""Kanthan Endral Arivu""",Karthik,Nandalala,,04:28
Aalukkoru Aasai,,"""Kottaikku Nee Raja""",S. A. Rajkumar,Ravi Bharathi,,05:16
Aalukkoru Veedu,,"""Seyyum Thozhile Deivam""",,Pattukkottai Kalyanasundaram,,03:17
Aalukkoru Veedu,,"""Pennille Nee Pennille""",,03:23,,
Aalukkoru Veedu,,"""Urukellaam Ore Saami""",,02:25,,
Aalukkoru Veedu,,"""Thaayille Thandhaiyille""",,,,
Aalukkoru Veedu,,"""Anbumanam Kanindhapinne""",,03:18,,
Aalukkoru Veedu,,"""Adiyaarku Adiyaaraayi""",,,,
Aalukkoru Veedu,,"""Nee Kettadhu Inbam, Kidaithadhu..""",,03:25,,
Aalukkoru Veedu,,"""Kaiyile Valai Kulunga""",,K. D. Santhanam,,
Aan Devathai,1,"""Nigara Than Nigara""",Vineeth Sreenivasan,Soundararajan K,,
Aan Devathai,2,"""Malarin Narumanam"" - S. Riyaz, Yazin Nizar , Aravind Srinivas",Kaviko,3:31,,
Aan Devathai,3,"""Pesugindren""",Chaitra Ambadipudi,Karthick Netha,,
Aan Devathai,4,"""Rottu Kadai Party""","Jacqueline Mary, Gold Devaraj",Viveka,,
Aan Devathai,5,"""Aan Devathai Theme""",Instrumental,Ghibran,,
Aan Paavam,,"""Enna Pada Sollathe""",S. Janaki,Vaali,,4:18
Aan Paavam,,"""Indiran Vanthathum""",Ilaiyaraaja,Vairamuthu,,3:41
Aan Paavam,,"""Kadhal Kasakkuthaiya""",Ilaiyaraaja,Vaali,,4:23
Aan Paavam,,"""Kuyile Kuyile Poonguyile""","Malaysia Vasudevan , K. S. Chithra",Kuruvikkarambai Shanmugam,,4:22
Aan Paavam,,"""Otti Vandha Singa Kutty""",Kollangudi Karuppayee,Kuruvikkarambai Shanmugam,,5:33
Aan Paavam,,"""Enna Pada Sollathe""(Sad)",S. Janaki,Vaali,,3:23
Aan Pillai Singam,,"""Kannadi Kaiyadi""",P. Susheela,,,
Aan Pillai Singam,,"""Mayakkam Kuzhappam""",P. Susheela,,,
Aan Pillai Singam,,"""Kalam Pala Kaathirundhom""",P. Susheela,,,
Aan Pillai Singam,,"""Seerthuko Kasu""",Vani Jairam,,,
Aana Valarthiya Vanampadi,,"""Kanne Varna""",,,,
Aana Valarthiya Vanampadi,,"""Avaniyil Thaano Njan Akappeduvaano""",,,,
Aana Valarthiya Vanampadi,,"""Kaananame""",,,,
Aana Valarthiya Vanampadi,,"""Paimpaalozhukum""",,,,
Aana Valarthiya Vanampadi,,"""Zimboho Zimbahai""",,,,
Aana Valarthiya Vanampadi,,"""Om Maha Kaali.... Koottukkulle""",,,,
Aana Valarthiya Vanampadi,,"""Jodiyulla Kaale""",,,,
Aana Valarthiya Vanampadiyude Makan,,"""Engengo Ullaasayaathra""",S. Janaki,,,
Aana Valarthiya Vanampadiyude Makan,,"""Heyya Villedu Vaaledu""",L. R. Eeswari,,,
Aana Valarthiya Vanampadiyude Makan,,"""Jaam Jaam Jamennu""","K. J. Yesudas , P. Leela",,,
Aana Valarthiya Vanampadiyude Makan,,"""Kankonil Kanavinte""","K. J. Yesudas, S. Janaki",,,
Aana Valarthiya Vanampadiyude Makan,,"""Raajaavinte Thirumakanu""","P. Leela, P. Madhuri",,,
Aana Valarthiya Vanampadiyude Makan,,"""Virunninu Vili Kelkkanda""","S. Janaki, L. R. Eeswari",,,
Aanandha Kummi,,"""Anandhakummi""",S.P. Sailaja,Vairamuthu,,
Aanandha Kummi,,"""Oru Kili Uruguthu""","S. Janaki , S.P. Sailaja",,,
Aanandha Kummi,,"""Malarthinrukku""","S. Janaki, S.P. Sailaja",,,
Aanandha Kummi,,"""Oomai Nenjin""","S.P. Balasubrahmanyam , S. Janaki",,,
Aanandha Kummi,,"""Oru Kili Uruguthu""",S.P. Balasubrahmanyam,,,
Aanandha Kummi,,"""Oh Vennilaave""","S.P. Balasubrahmanyam, S. Janaki",,,
Aanandha Kummi,,"""Thamaraikodi""",S.P. Balasubrahmanyam,,,
Aanandha Kummi,,"""Thindaduthe""",Ilaiyaraaja,,,
Aanandha Kummi,,"""Anandhakummi – Oh Vennilaave Va""","S.P. Balasubrahmanyam, S.Janaki & S.P. Sailaja",,,
Aanandha Kummi,,"""Annan Mare""","S.P. Balasubrahmanyam, Ilaiyaraaja, Gangai Amaren & Dr. Kalyan",Gangai Amaran,,
Aanandha Kummi,,"""Machan Maatikitaru""","S.P. Balasubrahmanyam, Ilaiyaraaja, Gangai Amaren and B.S. Sashirekha",,,
Aanazhagan,,"""Aaacha Paatcha""","Mano , K. S. Chithra",,,
Aanazhagan,,"""Arul Kann Paarvai""",K. S. Chithra,,,
Aanazhagan,,"""Eley Matchi""",Mano,,,
Aanazhagan,,"""Kanne Indru""","Mano, Swarnalatha",,,
Aanazhagan,,"""Konjum Pura""","S. Janaki , Mano",,,
Aanazhagan,,"""Nillatha Vennila""","Ilaiyaraaja , Swarnalatha",,,
Aanazhagan,,"""Poo Choodum""","Uma Ramanan , Sunandha",,,
Aandan Adimai,,"""Anne Anne""",Shankar Mahadevan,Muthulingam,,
Aandan Adimai,,"""Enna Enna Paada""","Bhavatharini , Harini",Thamarai,,
Aandan Adimai,,"""Undhan Rajyathil""",Ilaiyaraaja,Mu. Metha,,
Aandan Adimai,,"""Nammava""","Madhu Balakrishnan , Shanmugasundari",Vaali,,
Aandan Adimai,,"""Thillu Mullu""","Madhu Balakrishnan, Pushpavanam Kuppusamy",Pulamaipithan,,
Aaravalli,,"""Aaravalli Sooravalli""",G. Ramanathan,,,
Aaravalli,,"""Chinna Kutty Nathana""",Thiruchi Loganathan,Pattukkottai Kalyanasundaram,,
Aaravalli,,"""Uyirodu Poradum""",C. S. Jayaraman,,,
Aaravalli,,"""Aambala Un Mel""",,,,
Aaravalli,,"""Thudikkum Yauvanam"" Raga: Kalyani",Jikki,,,
Aaravalli,,"""Thirumbi Paaru Thambi""",Seerkazhi Govindarajan & Thiruchi Loganathan,Villiputhan (?),,
Aaravalli,,"""Anbe Enthan Munnale""",A. M. Rajah & Jikki,,,
Aaravalli,,"""Chinna Pennana Pothile""",A. M. Rajah & Jikki,Pattukkottai Kalyanasundaram,,
Aaravalli,,"""Maanamellam Ponna Pinne""",Thiruchi Loganathan & T. M. Soundararajan,,,
Aaravalli,,"""Pengalai Pazhipaavar Yaar""",T. V. Rathnam,,,
Aaravalli,,"""Sengamma Idhu Angamma""","A. G. Rathnamala , Seerkazhi Govindarajan & Thiruchi Loganathan",,,
Aaravalli,,"""Ila Meesaiyulla Ambalainga""",T. V. Rathnam & K. Jamuna Rani,,,
Aaravalli,,"""Kummalam Pottathellam"" (F)",T. V. Rathnam & A. G. Rathnamala,,,
Aaravalli,,"""Kummalam Pottathellam"" (M)",Seerkazhi Govindarajan & Thiruchi Loganathan,,,
Aaravalli,,"""Pazhakkamillatha Kazhuthaikitta""",Thiruchi Loganathan & Seerkazhi Govindarajan,Pattukkottai Kalyanasundaram,,
Aaravalli,,"""Maanjal Poosi Varum""",Seerkazhi Govindarajan & Thiruchi Loganathan,,,
Aaravalli,,"""Adivarum Thendralada""",Seerkazhi Govindarajan,,,
Aarumaname,,"""Maanattam Mayilattam""",Naveen Madhav,,,5:40
Aarumaname,,"""Chithiram Pesuthadi""","Harish Raghavendra , Sadhana Sargam",,,5:32
Aarumaname,,"""Aara Aariro""",Karthik,,,5:28
Aarumaname,,"""Yaro Yaro""",Vijay,,,5:21
Aarumaname,,"""Naan Kadhalikiren""","Shweta Mohan , Udit Narayan",,,5:10
Aarumaname,,"""Aara Aariro""",Shweta Mohan,,,4:59
Aarupushpangal,,"""Yendi Muthamma""",Chandrabose,,,4:14
Aarupushpangal,,"""Alagar Malayil""",L. R. Eswari,,,5:24
Aarupushpangal,,"""Vaazhvarasi Thaaye""","T. M. Soundararajan , L. R. Eswari",,,4:46
Aarupushpangal,,"""Atha Maga""","L. R. Eswari , B. S. Sasirekha, L. R. Anjali",,,4:38
Aasai,,"""Vaazhvelam Inbam Tharum""",Jikki,,,03:54
Aasai,,"""Dakkidi Dakkidi Dakkidi Naalu Kaal Kuthirai""",N. S. Krishnan,Udumalai Narayana Kavi,,03:15
Aasai,,"""Aasai Pongum Azhagu Roobam""",A. M. Rajah & Jikki,,,03:28
Aasai,,"""Thiruthandavam Seiyum Sivame Thunai""",V. Nagayya,,,03:09
Aasai,,"""Aasai Anbellam""",K. Jamuna Rani,Udumalai Narayana Kavi,,03:20
Aasai,,"""Kanni Thamizhil....Oviyanin Ullam Thannai""",A. M. Rajah & T. V. Rathnam,,,03:26
Aasai,,"""Kalai Gnaana Jothiyae.... Thunai Yaarum Ilaadha""",Jikki,Udumalai Narayana Kavi,,03:15
Aasai,,"""Valaiyal Ammaa Valaiyal""",A. M. Rajah & N. S. Krishnan,,,03:29
Aasai,,"""Aadi Paadi Odi Varum""",P. Leela & T. V. Rathnam,,,02:09
Aasai,,"""Varum Kaalam Nalla Kaalam""",A. M. Rajah & Jikki,,,02:32
Aasai,,"""Kallinaal.... Yaarai Paarthu Enna""",T. V. Rathnam,,,05:06
Aasai,,"""Vaanil Kannum Nilaave""",A. M. Rajah & Jikki,,,03:21
Aasai Aasaiyai,,"""Ilamai Enbathu""","Tippu , Ranjith",Vairamuthu,,
Aasai Aasaiyai,,"""Jinu Jinu""",Karthik,Ravi Mariya,,
Aasai Aasaiyai,,"""Kadhal Oru""",Sujatha,Vairamuthu,,
Aasai Aasaiyai,,"""Kannam Sivakka""","Mahalakshmi Iyer , Ranjith",,,
Aasai Aasaiyai,,"""Theeppori Pondrathu""","Karthik, K. S. Chithra",,,
Aasai Aasaiyai,,"""Yeh Penne""",Ranjith,,,
Aasai Alaigal,,"""Anbu Enbathu""","Sirkazhi Govindarajan, L. R. Eswari & K. Jamuna Rani",Kannadasan,,4:06
Aasai Alaigal,,"""Anbu Enbathu"" – 2",1:48,,,
Aasai Alaigal,,"""ChinnanChiru Magalai""",K. Jamuna Rani,03:51,,
Aasai Alaigal,,"""Antha Mayakkam Vendum""",L. R. Eswari & K. Jamuna Rani,4:20,,
Aasai Alaigal,,"""Sollap Pona... Yaarai Enge Vaipathu""",S. V. Ponnusamy,Panchu Arunachalam,,2:51
Aasai Alaigal,,"""Nadanthu Vantha""",T. M. Soundararajan,4:26,,
Aasai Mugam,,"""Neeya Illai Naana"" (x2)",T. M. Soundararajan & P. Susheela,,,03:21 / 04:23 (film version)
Aasai Mugam,,"""Yaarukku Yaar Endru Theriyaadha""",T. M. Soundararajan & P. Susheela,,,02:52 / 03:05 (film version)
Aasai Mugam,,"""Ennai Kadhalithal Mattum Pothuma""",T. M. Soundararajan & P. Susheela,,,03:37 / 03:49 (film version)
Aasai Mugam,,"""Ethanai Periya"" (Innoruvar Vaedhanai)",T. M. Soundararajan,,,03:41 / 04:24 (film version)
Aasai Mugam,,"""Naal Oru Medai Pozhudhoru Nadippu""",T. M. Soundararajan,,,03:26 / 03:12 (film version)
Aasai Thambi,,"""I Love You""","Mano , Anuradha Sriram",Palani Bharathi,,
Aasai Thambi,,"""Pollathathu""",Manimegalai,Kamakodiyan,,
Aasai Thambi,,"""Summa Summa""",Adithyan,,,
Aasai Thambi,,"""Ponnanathu""","Krishnachandran , Manimegalai",,,
Aasai Thambi,,"""Don't care""","Mano, Adithyan",Palani Bharathi,,
Aasai Thambi,,"""Rangoli Rawali""","Gangai Amaran , S. P. Balasubrahmanyam",,,
Aasaiyil Oru Kaditham,,"""Aasaiyil Or Kaditham",Srinivas,Vairamuthu,,
Aasaiyil Oru Kaditham,,"""French Classile""",Naveen,K. Subash,,
Aasaiyil Oru Kaditham,,"""Karthigai""",Malgudi Subha,Vairamuthu,,
Aasaiyil Oru Kaditham,,"""Nee Irunthal Naan""",Hariharan,,,
Aasaiyil Oru Kaditham,,"""Vennilave""","Srinivas, Sujatha",,,
Aatha Naan Pass Ayittaen,,"""Kanaavil Partha""","S. P. Balasubrahmanyam , K. S. Chithra",,,
Aatha Naan Pass Ayittaen,,"""Nethu Varaikum""",Mano,,,
Aatha Naan Pass Ayittaen,,"""Onna Renda Ava""","Malaysia Vasudevan , S. P. Sailaja",,,
Aatha Naan Pass Ayittaen,,"""Ponga Vachi""","Malaysia Vasudevan, Swarnalatha",,,
Aatha Naan Pass Ayittaen,,"""Moonu Mozha""","S. P. Balasubrahmanyam, K. S. Chithra",,,
Aatha Un Koyilile,,"""Ele Elanguyile""","S. P. Balasubrahmanyam , K. S. Chithra",,,3:59
Aatha Un Koyilile,,"""Pombalaya Madhikavenum""",Gangai Amaran,,,4:42
Aatha Un Koyilile,,"""Chinnanchiru Poove""","Mano , S. Janaki",,,4:26
Aatha Un Koyilile,,"""Othayadi Paadhayile"" (male)",S. P. Balasubrahmanyam,,,5:03
Aatha Un Koyilile,,"""Kaadhal Kiligale""",Krishna Chandher,,,4:40
Aatha Un Koyilile,,"""Thaimaasam Vandirichi""",Deva,,,0:59
Aatha Un Koyilile,,"""Othayadi Paadhayile"" (female)",Jikki,,,5:03
Aatha Un Koyilile,,"""Vandi Varudu""",Swarnalatha,,,1:13
Aatha Un Koyilile,,"""Othayadi Paadhayile"" (reprised)",Malaysia Vasudevan,,,0:34
Aatha Un Koyilile,,"""Thaimaasam Vanduruchi""",Swarnalatha,,,0:59
Aatha Un Koyilile,,"""Othayadi Paadhayile"" (duet)","S. P. Balasubrahmanyam, Jikki",,,5:04
Aatha Un Koyilile,,"""Maari Muthumaari""","Swarnalatha, Malaysia Vasudevan",,,5:13
Aathi,,"""Olli Olli Iduppe""","Karthik , Anuradha Sriram",P. Vijay,,
Aathi,,"""Ennai Konja Konja""","Hariharan , Sujatha Mohan",Yugabharathi,,
Aathi,,"""Athi Athikka""","S. P. Balasubrahmanyam , Sadhana Sargam",P. Vijay,,
Aathi,,"""Yea Duraa""","Saindhavi , Tippu",,,
Aathi,,"""Lealakku Lealakku""","KK , Sujatha Mohan",,,
Aathi Narayana,1,"""Idhuthana Kadhal""",Haricharan,Snehan,,
Aathi Narayana,2,"""Happy New Year""","S. P. B. Charan , Preethi Samyuktha",Viveka,,
Aathi Narayana,3,"""Kanna Nee""",Sadhana Sargam,Kabilan,,
Aathi Narayana,4,"""Karuppayee""","Silambarasan , Roshini",,,
Aathi Narayana,5,"""Twinkle Twinkle""","Karthik , Suchitra",Palani Bharathi,,
Aattanayagann,1,"""Aatatha Paaru""","Megha, Naveen",Krishnaram,,
Aattanayagann,2,"""Chekka""","Udit Narayan , Anuradha Sriram",Vaali,,
Aattanayagann,3,"""Lakkadi""",Shankar Mahadevan,,,
Aattanayagann,4,"""Onnarooba""",Velmurugan,Viveka,,
Aattanayagann,5,"""Pattampoochi""","Karthik , Sadhana Sargam",Vaali,,
Aattanayagann,6,"""Vaarthaiyala""",Haricharan,,,
Aattukara Alamelu,,"""Aathula Meen""",P. Susheela,,,03:44
Aattukara Alamelu,,"""Dhaagam Theerndhadi""","P. Susheela, T. M. Soundararajan",,,03:58
Aattukara Alamelu,,"""Paruththi Edukkaiyile""","P. Susheela, T. M. Soundararajan",,,04:25
Aattukara Alamelu,,"""Then Koodu Thirumagal""",P. Susheela,,,04:04
Aavarampoo,,"""Aalolam Paadi""",Ilaiyaraaja,Gangai Amaran,,5:05
Aavarampoo,,"""Adukku Malli Yeduthu""","S. P. Balasubrahmanyam , S. Janaki",5:00,,
Aavarampoo,,"""Mandhiram Idhu""",K. J. Yesudas,Pulamaipithan,,6:09
Aavarampoo,,"""Nadhi Odum Karaiyoram""",S. Janaki,Gangai Amaran,,4:53
Aavarampoo,,"""Saadhinchane""",Krishnachander,Tyagaraja,,2:55
